ID;Nome Completo;Gênero;Data de Nascimento;Idade;Estado Civil;Cargo;Departamento;Data de Admissão;Salário (R$);Tipo de Contrato;Escolaridade;Status;Cidade;Estado;Home Office;Avaliação de Desempenho (0-10);Faltas no Ano;Treinamentos Concluídos
1;Cecília Alves;Outro;1967-07-17;57;Solteiro(a);Analista de RH;Administrativo;2019-04-13;2912.54;PJ;Superior Incompleto;Ativo;Correia do Oeste;DF;Sim;5.9;1;0
2;Guilherme Vieira;Masculino;1968-07-10;56;Casado(a);Assistente Administrativo;Logística;2016-05-11;2221.41;PJ;Pós-graduação;Ativo;Nogueira;CE;Não;8.1;0;5
3;Thiago Lopes;Outro;1989-01-20;36;Viúvo(a);Auxiliar de Logística;Marketing;2021-01-11;1608.84;Temporário;Ensino Médio;Ativo;Peixoto da Serra;PE;Sim;3.6;11;8
4;João Felipe Peixoto;Masculino;1985-04-24;40;Viúvo(a);Estagiário de TI;Recursos Humanos;2011-03-16;1783.87;Estágio;Ensino Médio;Desligado;Peixoto de Santos;GO;Não;5.8;2;1
5;Sr. Renan Melo;Outro;1992-12-01;32;Casado(a);Coordenador de Marketing;Recursos Humanos;2011-07-18;7493.61;CLT;Pós-graduação;Desligado;Pinto;CE;Não;1.6;11;6
6;Vitória Cardoso;Outro;1988-06-06;36;Divorciado(a);Desenvolvedor;Logística;2019-03-25;5904.93;PJ;Superior Incompleto;Desligado;Porto;PE;Não;9.9;20;7
7;Leandro Mendes;Outro;1982-04-04;43;Divorciado(a);Analista de RH;Tecnologia da Informação;2018-01-26;3732.7;Temporário;Pós-graduação;Desligado;Dias Alegre;RJ;Sim;9.1;18;10
8;Lucas Gabriel Cardoso;Masculino;1993-02-07;32;Viúvo(a);Contador;Administrativo;2003-07-07;4647.13;Temporário;Superior Incompleto;Ativo;da Luz;DF;Não;7.5;13;12
9;Dr. Yuri Lima;Feminino;1970-09-25;54;Casado(a);Gerente de Projetos;Logística;2003-06-03;9467.58;CLT;Ensino Médio;Ativo;Almeida das Pedras;MG;Não;6.0;12;12
10;Leandro Pereira;Outro;1995-11-24;29;Viúvo(a);Estagiário de TI;Marketing;2018-09-08;1782.65;CLT;Ensino Médio;Desligado;Araújo de Monteiro;BA;Sim;2.9;5;14
11;Isis Castro;Masculino;2005-04-28;20;Divorciado(a);Estagiário de TI;Tecnologia da Informação;2005-11-05;1504.61;CLT;Superior Completo;Ativo;Moreira do Amparo;MG;Não;7.6;17;0
12;Dra. Mariane da Cunha;Outro;1983-04-12;42;Divorciado(a);Analista Financeiro;Recursos Humanos;2022-06-14;3223.74;Temporário;Superior Completo;Ativo;Costa;SP;Sim;8.8;2;2
13;Eloah da Cruz;Outro;1975-03-06;50;Viúvo(a);Desenvolvedor;Logística;2007-06-18;6297.5;PJ;Pós-graduação;Ativo;Costela do Sul;PR;Não;9.6;17;6
14;Sr. Theo Gonçalves;Outro;1990-02-06;35;Divorciado(a);Contador;Administrativo;2008-09-30;5124.7;Estágio;Pós-graduação;Ativo;Souza de Ramos;RS;Sim;0.6;0;7
15;Danilo Duarte;Outro;1968-07-30;56;Casado(a);Analista de RH;Recursos Humanos;2020-03-31;3561.76;CLT;Superior Incompleto;Ativo;da Cruz do Amparo;SP;Não;0.7;7;8
16;Emanuel Cardoso;Outro;1985-06-14;39;Viúvo(a);Assistente Administrativo;Logística;2013-10-05;1892.62;Estágio;Superior Incompleto;Desligado;Costela do Galho;PE;Sim;0.9;13;11
17;Amanda Silveira;Feminino;1970-08-09;54;Viúvo(a);Analista Financeiro;Administrativo;2020-06-28;3108.34;CLT;Ensino Médio;Desligado;Gomes;BA;Sim;2.5;6;14
18;Srta. Giovanna Nogueira;Masculino;1989-02-12;36;Viúvo(a);Gerente de Projetos;Marketing;2021-01-30;9313.14;CLT;Pós-graduação;Ativo;Dias Grande;SP;Sim;9.7;7;5
